able abler ablest
angry angrier angriest
big bigger biggest
blue bluer bluest
broad broader broadest
brown browner brownest
clean cleaner cleanest
cleanly cleanlier cleanliest
clear clearer clearest
clumsy clumsier clumsiest
coarse coarser coarsest
comely comelier comeliest
cool cooler coolest
cozy cozier coziest
crude cruder crudest
dainty daintier daintiest
damp damper dampest
dear dearer dearest
deep deeper deepest
dim dimmer dimmest
dingy dingier dingiest
dirty dirtier dirtiest
dizzy dizzier dizziest
doughty doughtier doughtiest
dowdy dowdier dowdiest
dreamy dreamier dreamiest
dreary drearier dreariest
droll droller drollest
drowsy drowsier drowsiest
dry drier driest
dull duller dullest
dumpy dumpier dumpiest
dusty dustier dustiest
empty emptier emptiest
faint fainter faintest
fair fairer fairest
fat fatter fattest
few fewer fewest
filthy filthier filthiest
firm firmer firmest
fit fitter fittest
flat flatter flattest
fleshy fleshier fleshiest
flimsy flimsier flimsiest
flinty flintier flintiest
fluffy fluffier fluffiest
foggy foggier foggiest
foul fouler foulest
frail frailer frailest
free freer freest
fresh fresher freshest
frothy frothier frothiest
funny funnier funniest
fussy fussier fussiest
fusty fustier fustiest
gaudy gaudier gaudiest
gawky gawkier gawkiest
gay gayer gayest
giddy giddier giddiest
gloomy gloomier gloomiest
glossy glossier glossiest
grand grander grandest
grave graver gravest
gray grayer grayest
greasy greasier greasiest
great greater greatest
greedy greedier greediest
green greener greenest
grimy grimier grimiest
gross grosser grossest
gruff gruffer gruffest
guilty guiltier guiltiest
handy handier handiest
happy happier happiest
hard harder hardest
haughty haughtier haughtiest
healthy healthier healthiest
hearty heartier heartiest
heavy heavier heaviest
high higher highest
hoarse hoarser hoarsest
horny hornier horniest
hot hotter hottest
huge huger hugest
hungry hungrier hungriest
icy icier iciest
jaunty jauntier jauntiest
jolly jollier jolliest
juicy juicier juiciest
keen keener keenest
kind kinder kindest
kingly kinglier kingliest
knotty knottier knottiest
lame lamer lamest
lank lanker lankest
lazy lazier laziest
leafy leafier leafiest
leaky leakier leakiest
lengthy lengthier lengthiest
lewd lewder lewdest
light lighter lightest
like liker likest
lively livelier liveliest
lonely lonelier loneliest
long longer longest
loose looser loosest
loud louder loudest
lovely lovelier loveliest
low lower lowest
lucky luckier luckiest
lumpy lumpier lumpiest
lusty lustier lustiest
mad madder maddest
mangy mangier mangiest
manly manlier manliest
massy massier massiest
mealy mealier mealiest
mean meaner meanest
meek meeker meekest
mellow mellower mellowest
merry merrier merriest
mild milder mildest
misty mistier mistiest
moody moodier moodiest
mossy mossier mossiest
muddy muddier muddiest
muggy muggier muggiest
murky murkier murkiest
narrow narrower narrowest
nasty nastier nastiest
naughty naughtier naughtiest
needy needier neediest
new newer newest
nigh nigher nighest
noble nobler noblest
noisy noisier noisiest
obscure obscurer obscurest
odd odder oddest
oily oilier oiliest
paltry paltrier paltriest
petty pettier pettiest
pithy pithier pithiest
plain plainer plainest
plucky pluckier pluckiest
poor poorer poorest
pretty prettier prettiest
prosy prosier prosiest
proud prouder proudest
puny punier puniest
pure purer purest
quick quicker quickest
racy racier raciest
rank ranker rankest
rare rarer rarest
rash rasher rashest
raw rawer rawest
ready readier readiest
red redder reddest
rich richer richest
ripe riper ripest
rosy rosier rosiest
rude ruder rudest
rusty rustier rustiest
sage sager sagest
sandy sandier sandiest
sappy sappier sappiest
saucy saucier sauciest
scabby scabbier scabbiest
scant scanter scantest
scarce scarcer scarcest
scraggy scraggier scraggiest
scrubby scrubbier scrubbiest
scurfy scurfier scurfiest
seedy seedier seediest
seemly seemlier seemliest
severe severer severest
shady shadier shadiest
shaky shakier shakiest
shallow shallower shallowest
shapely shapelier shapeliest
sharp sharper sharpest
shiny shinier shiniest
short shorter shortest
shrewd shrewder shrewdest
shrubby shrubbier shrubbiest
shy shier shiest
sick sicker sickest
sickly sicklier sickliest
silky silkier silkiest
sincere sincerer sincerest
slack slacker slackest
sleek sleeker sleekest
slender slenderer slenderest
slim slimmer slimmest
slimy slimier slimiest
sloppy sloppier sloppiest
slow slower slowest
small smaller smallest
smoky smokier smokiest
smooth smoother smoothest
smutty smuttier smuttiest
snug snugger snuggest
soapy soapier soapiest
sober soberer soberest
soft softer softest
soggy soggier soggiest
sooth soother soothest
sooty sootier sootiest
sore sorer sorest
sound sounder soundest
sour sourer sourest
sparse sparser sparsest
speedy speedier speediest
spicy spicier spiciest
sprightly sprightlier sprightliest
springy springier springiest
spry sprier spriest
spunky spunkier spunkiest
stately statelier stateliest
stealthy stealthier stealthiest
stern sterner sternest
sticky stickier stickiest
stiff stiffer stiffest
stingy stingier stingiest
stony stonier stoniest
stormy stormier stormiest
stout stouter stoutest
straight straighter straightest
strong stronger strongest
sturdy sturdier sturdiest
sultry sultrier sultriest
sunny sunnier sunniest
sweaty sweatier sweatiest
sweet sweeter sweetest
tall taller tallest
tame tamer tamest
tardy tardier tardiest
tasty tastier tastiest
tawdry tawdrier tawdriest
tender tenderer tenderest
terse terser tersest
testy testier testiest
thick thicker thickest
thin thinner thinnest
thorny thornier thorniest
thrifty thriftier thriftiest
tidy tidier tidiest
tight tighter tightest
timely timelier timeliest
tiny tinier tiniest
tipsy tipsier tipsiest
tough tougher toughest
trashy trashier trashiest
trusty trustier trustiest
turfy turfier turfiest
ugly uglier ugliest
unruly unrulier unruliest
up upper uppermost
vain vainer vainest
vast vaster vastest
vile viler vilest
warm warmer warmest
weakly weaklier weakliest
wealthy wealthier wealthiest
weary wearier weariest
weedy weedier weediest
weighty weightier weightiest
wet wetter wettest
white whiter whitest
wide wider widest
wild wilder wildest
wily wilier wiliest
windy windier windiest
wordy wordier wordiest
wormy wormier wormiest
wry wryer wryest
yellow yellower yellowest
young younger youngest
