ablest+"(most) able"+["able", "abler"]
angriest+"(most) angry"+["angry", "angrier"]
biggest+"(most) big"+["big", "bigger"]
bluest+"(most) blue"+["blue", "bluer"]
broadest+"(most) broad"+["broad", "broader"]
brownest+"(most) brown"+["brown", "browner"]
cleanest+"(most) clean"+["clean", "cleaner"]
cleanliest+"(most) cleanly"+["cleanly", "cleanlier"]
clearest+"(most) clear"+["clear", "clearer"]
clumsiest+"(most) clumsy"+["clumsy", "clumsier"]
coarsest+"(most) coarse"+["coarse", "coarser"]
comeliest+"(most) comely"+["comely", "comelier"]
coolest+"(most) cool"+["cool", "cooler"]
coziest+"(most) cozy"+["cozy", "cozier"]
crudest+"(most) crude"+["crude", "cruder"]
daintiest+"(most) dainty"+["dainty", "daintier"]
dampest+"(most) damp"+["damp", "damper"]
dearest+"(most) dear"+["dear", "dearer"]
deepest+"(most) deep"+["deep", "deeper"]
dimmest+"(most) dim"+["dim", "dimmer"]
dingiest+"(most) dingy"+["dingy", "dingier"]
dirtiest+"(most) dirty"+["dirty", "dirtier"]
dizziest+"(most) dizzy"+["dizzy", "dizzier"]
doughtiest+"(most) doughty"+["doughty", "doughtier"]
dowdiest+"(most) dowdy"+["dowdy", "dowdier"]
dreamiest+"(most) dreamy"+["dreamy", "dreamier"]
dreariest+"(most) dreary"+["dreary", "drearier"]
drollest+"(most) droll"+["droll", "droller"]
drowsiest+"(most) drowsy"+["drowsy", "drowsier"]
driest+"(most) dry"+["dry", "drier"]
dullest+"(most) dull"+["dull", "duller"]
dumpiest+"(most) dumpy"+["dumpy", "dumpier"]
dustiest+"(most) dusty"+["dusty", "dustier"]
emptiest+"(most) empty"+["empty", "emptier"]
faintest+"(most) faint"+["faint", "fainter"]
fairest+"(most) fair"+["fair", "fairer"]
fattest+"(most) fat"+["fat", "fatter"]
fewest+"(most) few"+["few", "fewer"]
filthiest+"(most) filthy"+["filthy", "filthier"]
firmest+"(most) firm"+["firm", "firmer"]
fittest+"(most) fit"+["fit", "fitter"]
flattest+"(most) flat"+["flat", "flatter"]
fleshiest+"(most) fleshy"+["fleshy", "fleshier"]
flimsiest+"(most) flimsy"+["flimsy", "flimsier"]
flintiest+"(most) flinty"+["flinty", "flintier"]
fluffiest+"(most) fluffy"+["fluffy", "fluffier"]
foggiest+"(most) foggy"+["foggy", "foggier"]
foulest+"(most) foul"+["foul", "fouler"]
frailest+"(most) frail"+["frail", "frailer"]
freest+"(most) free"+["free", "freer"]
freshest+"(most) fresh"+["fresh", "fresher"]
frothiest+"(most) frothy"+["frothy", "frothier"]
funniest+"(most) funny"+["funny", "funnier"]
fussiest+"(most) fussy"+["fussy", "fussier"]
fustiest+"(most) fusty"+["fusty", "fustier"]
