abler+"(more) able"+["able", "abler"]
angrier+"(more) angry"+["angry", "angrier"]
bigger+"(more) big"+["big", "bigger"]
bluer+"(more) blue"+["blue", "bluer"]
broader+"(more) broad"+["broad", "broader"]
browner+"(more) brown"+["brown", "browner"]
cleaner+"(more) clean"+["clean", "cleaner"]
cleanlier+"(more) cleanly"+["cleanly", "cleanlier"]
clearer+"(more) clear"+["clear", "clearer"]
clumsier+"(more) clumsy"+["clumsy", "clumsier"]
coarser+"(more) coarse"+["coarse", "coarser"]
comelier+"(more) comely"+["comely", "comelier"]
cooler+"(more) cool"+["cool", "cooler"]
cozier+"(more) cozy"+["cozy", "cozier"]
cruder+"(more) crude"+["crude", "cruder"]
daintier+"(more) dainty"+["dainty", "daintier"]
damper+"(more) damp"+["damp", "damper"]
dearer+"(more) dear"+["dear", "dearer"]
deeper+"(more) deep"+["deep", "deeper"]
dimmer+"(more) dim"+["dim", "dimmer"]
dingier+"(more) dingy"+["dingy", "dingier"]
dirtier+"(more) dirty"+["dirty", "dirtier"]
dizzier+"(more) dizzy"+["dizzy", "dizzier"]
doughtier+"(more) doughty"+["doughty", "doughtier"]
dowdier+"(more) dowdy"+["dowdy", "dowdier"]
dreamier+"(more) dreamy"+["dreamy", "dreamier"]
drearier+"(more) dreary"+["dreary", "drearier"]
droller+"(more) droll"+["droll", "droller"]
drowsier+"(more) drowsy"+["drowsy", "drowsier"]
drier+"(more) dry"+["dry", "drier"]
duller+"(more) dull"+["dull", "duller"]
dumpier+"(more) dumpy"+["dumpy", "dumpier"]
dustier+"(more) dusty"+["dusty", "dustier"]
emptier+"(more) empty"+["empty", "emptier"]
fainter+"(more) faint"+["faint", "fainter"]
fairer+"(more) fair"+["fair", "fairer"]
fatter+"(more) fat"+["fat", "fatter"]
fewer+"(more) few"+["few", "fewer"]
filthier+"(more) filthy"+["filthy", "filthier"]
firmer+"(more) firm"+["firm", "firmer"]
fitter+"(more) fit"+["fit", "fitter"]
flatter+"(more) flat"+["flat", "flatter"]
fleshier+"(more) fleshy"+["fleshy", "fleshier"]
flimsier+"(more) flimsy"+["flimsy", "flimsier"]
flintier+"(more) flinty"+["flinty", "flintier"]
fluffier+"(more) fluffy"+["fluffy", "fluffier"]
foggier+"(more) foggy"+["foggy", "foggier"]
fouler+"(more) foul"+["foul", "fouler"]
frailer+"(more) frail"+["frail", "frailer"]
freer+"(more) free"+["free", "freer"]
fresher+"(more) fresh"+["fresh", "fresher"]
frothier+"(more) frothy"+["frothy", "frothier"]
funnier+"(more) funny"+["funny", "funnier"]
fussier+"(more) fussy"+["fussy", "fussier"]
fustier+"(more) fusty"+["fusty", "fustier"]
gaudier+"(more) gaudy"+["gaudy", "gaudier"]
gawkier+"(more) gawky"+["gawky", "gawkier"]
gayer+"(more) gay"+["gay", "gayer"]
giddier+"(more) giddy"+["giddy", "giddier"]
gloomier+"(more) gloomy"+["gloomy", "gloomier"]
glossier+"(more) glossy"+["glossy", "glossier"]
grander+"(more) grand"+["grand", "grander"]
graver+"(more) grave"+["grave", "graver"]
grayer+"(more) gray"+["gray", "grayer"]
greasier+"(more) greasy"+["greasy", "greasier"]
greater+"(more) great"+["great", "greater"]
greedier+"(more) greedy"+["greedy", "greedier"]
greener+"(more) green"+["green", "greener"]
grimier+"(more) grimy"+["grimy", "grimier"]
grosser+"(more) gross"+["gross", "grosser"]
gruffer+"(more) gruff"+["gruff", "gruffer"]
guiltier+"(more) guilty"+["guilty", "guiltier"]
handier+"(more) handy"+["handy", "handier"]
happier+"(more) happy"+["happy", "happier"]
harder+"(more) hard"+["hard", "harder"]
haughtier+"(more) haughty"+["haughty", "haughtier"]
healthier+"(more) healthy"+["healthy", "healthier"]
heartier+"(more) hearty"+["hearty", "heartier"]
heavier+"(more) heavy"+["heavy", "heavier"]
higher+"(more) high"+["high", "higher"]
hoarser+"(more) hoarse"+["hoarse", "hoarser"]
hornier+"(more) horny"+["horny", "hornier"]
hotter+"(more) hot"+["hot", "hotter"]
huger+"(more) huge"+["huge", "huger"]
hungrier+"(more) hungry"+["hungry", "hungrier"]
icier+"(more) icy"+["icy", "icier"]
jauntier+"(more) jaunty"+["jaunty", "jauntier"]
jollier+"(more) jolly"+["jolly", "jollier"]
juicier+"(more) juicy"+["juicy", "juicier"]
keener+"(more) keen"+["keen", "keener"]
kinder+"(more) kind"+["kind", "kinder"]
kinglier+"(more) kingly"+["kingly", "kinglier"]
knottier+"(more) knotty"+["knotty", "knottier"]
lamer+"(more) lame"+["lame", "lamer"]
lanker+"(more) lank"+["lank", "lanker"]
lazier+"(more) lazy"+["lazy", "lazier"]
leafier+"(more) leafy"+["leafy", "leafier"]
leakier+"(more) leaky"+["leaky", "leakier"]
lengthier+"(more) lengthy"+["lengthy", "lengthier"]
lewder+"(more) lewd"+["lewd", "lewder"]
